symptom_text,severity,disease,total_weight
chills vomiting fatigue weight_loss cough breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,68
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
itching skin_rash stomach_pain burning_micturition spotting_ urination,MEDIUM,Drug Reaction,15
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,41
fatigue mood_swings weight_loss restlessness sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation,CRITICAL,Hyperthyroidism,43
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain,HIGH,GERD,28
chills fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum,CRITICAL,Pneumonia,52
vomiting headache nausea spinning_movements loss_of_balance unsteadiness,HIGH,(vertigo) Paroymsal  Positional Vertigo,27
itching skin_rash stomach_pain spotting_ urination,LOW,Drug Reaction,9
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,31
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
muscle_wasting high_fever extra_marital_contacts,MEDIUM,AIDS,15
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,31
joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking,MEDIUM,Osteoarthristis,20
continuous_sneezing shivering chills,LOW,Allergy,12
chills fatigue cough high_fever breathlessness sweating malaise chest_pain fast_heart_rate rusty_sputum,CRITICAL,Pneumonia,47
fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,53
muscle_wasting patches_in_throat high_fever extra_marital_contacts,MEDIUM,AIDS,21
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking,MEDIUM,Osteoarthristis,20
skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze,MEDIUM,Impetigo,19
fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,48
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,32
itching skin_rash stomach_pain burning_micturition spotting_ urination,MEDIUM,Drug Reaction,15
continuous_sneezing chills watering_from_eyes,LOW,Allergy,11
chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,34
itching skin_rash dischromic _patches,LOW,Fungal infection,4
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,36
fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum,CRITICAL,Pneumonia,49
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
vomiting headache nausea spinning_movements loss_of_balance unsteadiness,HIGH,(vertigo) Paroymsal  Positional Vertigo,27
burning_micturition bladder_discomfort foul_smell_of urine continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
fatigue high_fever breathlessness family_history mucoid_sputum,MEDIUM,Bronchial Asthma,24
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,CRITICAL,Diabetes,41
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking,MEDIUM,Arthritis,18
vomiting headache nausea spinning_movements loss_of_balance unsteadiness,HIGH,(vertigo) Paroymsal  Positional Vertigo,27
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
headache nausea spinning_movements loss_of_balance unsteadiness,MEDIUM,(vertigo) Paroymsal  Positional Vertigo,22
vomiting sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,18
muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking,MEDIUM,Arthritis,18
vomiting fatigue anxiety sweating headache nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations,CRITICAL,Hypoglycemia,47
muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking,MEDIUM,Arthritis,18
constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus,HIGH,Dimorphic hemmorhoids(piles),26
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails,MEDIUM,Psoriasis,13
fatigue weight_loss restlessness lethargy blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,HIGH,Diabetes,36
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking,MEDIUM,Osteoarthristis,20
muscle_weakness swelling_joints movement_stiffness painful_walking,MEDIUM,Arthritis,14
continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,77
muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking,MEDIUM,Arthritis,18
burning_micturition bladder_discomfort continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
itching skin_rash dischromic _patches,LOW,Fungal infection,4
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,62
fatigue cough high_fever breathlessness family_history,MEDIUM,Bronchial Asthma,24
chills vomiting fatigue high_fever nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,47
itching skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,44
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,36
fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,53
chills vomiting fatigue high_fever headache constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,45
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,32
continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,77
headache chest_pain dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,21
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,45
fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,53
itching skin_rash stomach_pain burning_micturition,MEDIUM,Drug Reaction,15
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,25
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
chills vomiting fatigue weight_loss cough breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,68
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
vomiting breathlessness sweating chest_pain,MEDIUM,Heart attack,19
muscle_weakness stiff_neck movement_stiffness painful_walking,MEDIUM,Arthritis,13
yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history,MEDIUM,Hepatitis C,21
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,59
muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking,MEDIUM,Arthritis,18
continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,77
fatigue cough high_fever breathlessness family_history mucoid_sputum,HIGH,Bronchial Asthma,28
chills vomiting fatigue high_fever headache nausea constipation diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,46
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,43
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,32
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze,MEDIUM,Impetigo,19
itching lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,HIGH,Hepatitis B,39
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,CRITICAL,Diabetes,41
chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,34
fatigue mood_swings weight_loss restlessness sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation,CRITICAL,Hyperthyroidism,43
vomiting sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,18
vomiting sweating chest_pain,MEDIUM,Heart attack,15
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,62
fatigue mood_swings weight_loss restlessness sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation,CRITICAL,Hyperthyroidism,43
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
chills vomiting fatigue high_fever headache nausea abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,46
burning_micturition bladder_discomfort continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
fatigue cramps bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf,HIGH,Varicose veins,32
vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases,MEDIUM,Peptic ulcer diseae,23
vomiting headache nausea spinning_movements loss_of_balance unsteadiness,HIGH,(vertigo) Paroymsal  Positional Vertigo,27
fatigue cough high_fever breathlessness family_history mucoid_sputum,HIGH,Bronchial Asthma,28
fatigue mood_swings weight_loss sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation,HIGH,Hyperthyroidism,38
fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes,MEDIUM,Hepatitis C,20
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
pus_filled_pimples blackheads scurring,LOW,Acne,6
joint_pain neck_pain knee_pain hip_joint_pain swelling_joints,MEDIUM,Osteoarthristis,18
skin_rash joint_pain skin_peeling small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,13
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,36
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation,CRITICAL,Hypothyroidism,53
burning_micturition foul_smell_of urine continuous_feel_of_urine,LOW,Urinary tract infection,12
itching skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,44
muscle_wasting high_fever extra_marital_contacts,MEDIUM,AIDS,15
vomiting weakness_of_one_body_side altered_sensorium,LOW,Paralysis (brain hemorrhage),11
skin_rash blister red_sore_around_nose yellow_crust_ooze,LOW,Impetigo,12
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
burning_micturition bladder_discomfort foul_smell_of urine continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
burning_micturition bladder_discomfort foul_smell_of urine continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
continuous_sneezing shivering chills watering_from_eyes,MEDIUM,Allergy,16
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,36
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,62
skin_rash high_fever blister red_sore_around_nose,MEDIUM,Impetigo,16
itching skin_rash burning_micturition spotting_ urination,LOW,Drug Reaction,10
joint_pain vomiting yellowish_skin dark_urine nausea abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,41
chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,34
vomiting sweating chest_pain,MEDIUM,Heart attack,15
itching skin_rash stomach_pain burning_micturition spotting_ urination,MEDIUM,Drug Reaction,15
muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking,MEDIUM,Arthritis,18
headache weakness_of_one_body_side altered_sensorium,LOW,Paralysis (brain hemorrhage),9
burning_micturition bladder_discomfort foul_smell_of urine,LOW,Urinary tract infection,10
vomiting loss_of_appetite abdominal_pain passage_of_gases internal_itching,MEDIUM,Peptic ulcer diseae,22
vomiting loss_of_appetite abdominal_pain passage_of_gases internal_itching,MEDIUM,Peptic ulcer diseae,22
vomiting sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,18
chills fatigue high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum,CRITICAL,Pneumonia,48
skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze,MEDIUM,Impetigo,19
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
cramps bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf,HIGH,Varicose veins,28
vomiting breathlessness sweating chest_pain,MEDIUM,Heart attack,19
chills vomiting high_fever sweating headache nausea muscle_pain,HIGH,Malaria,28
itching skin_rash nodal_skin_eruptions,LOW,Fungal infection,8
chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,34
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,31
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,45
skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails,MEDIUM,Psoriasis,15
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
chills vomiting fatigue weight_loss cough breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,68
chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,52
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,43
vomiting headache nausea spinning_movements unsteadiness,MEDIUM,(vertigo) Paroymsal  Positional Vertigo,23
chills vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,75
itching fatigue lethargy dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,40
skin_rash joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,52
burning_micturition bladder_discomfort foul_smell_of urine continuous_feel_of_urine,MEDIUM,Urinary tract infection,16
breathlessness sweating chest_pain,MEDIUM,Heart attack,14
